Крок	x1	x2	Phi(X)
521	-1.425000	-1.400000	7.128906e-04
522	-1.425000	-1.400000	7.128906e-04
523	-1.425000	-1.400000	7.128906e-04
524	-1.425000	-1.400000	7.128906e-04
525	-1.425000	-1.400000	7.128906e-04
526	-1.425000	-1.400000	7.128906e-04
527	-1.425000	-1.400000	7.128906e-04
528	-1.425000	-1.400000	7.128906e-04
529	-1.425000	-1.400000	7.128906e-04
530	-1.425000	-1.400000	7.128906e-04
531	-1.425000	-1.400000	7.128906e-04
532	-1.425000	-1.400000	7.128906e-04
533	-1.425000	-1.400000	7.128906e-04
534	-1.425000	-1.400000	7.128906e-04
535	-1.425000	-1.400000	7.128906e-04
536	-1.425000	-1.400000	7.128906e-04
537	-1.425000	-1.400000	7.128906e-04
538	-1.425000	-1.400000	7.128906e-04
539	-1.425000	-1.400000	7.128906e-04
540	-1.425000	-1.400000	7.128906e-04
541	-1.425000	-1.400000	7.128906e-04
542	-1.425000	-1.400000	7.128906e-04
